,loan_amnt,term,int_rate,installment,annual_inc,dti,revol_bal,total_acc
19589,30000.0, 36 months,11.22,985.29,122000.0,26.64,8534.0,24.0
2066,11500.0, 36 months,5.32,346.32,151000.0,18.99,11261.0,30.0
14228,17975.0, 36 months,13.18,607.21,86868.0,29.96,50072.0,41.0
12696,27000.0, 60 months,15.41,648.16,65400.0,20.88,41999.0,33.0
11111,12000.0, 60 months,28.49,377.19,40000.0,31.59,21703.0,28.0
2249,15000.0, 36 months,6.99,463.09,145000.0,17.98,6407.0,36.0
7958,22000.0, 36 months,5.32,662.53,140000.0,22.94,18526.0,62.0
5540,4500.0, 36 months,14.85,155.67,42000.0,14.3,4132.0,14.0
8245,10525.0, 36 months,15.41,366.97,34300.0,35.24,7168.0,38.0
8435,8500.0, 36 months,12.59,284.73,51300.0,29.05,24796.0,23.0
11638,10800.0, 60 months,18.2,275.43,44267.52,15.53,5618.0,16.0
2374,14000.0, 60 months,16.59,344.86,50000.0,31.11,11719.0,11.0
17139,10000.0, 60 months,13.18,228.46,65000.0,22.77,12053.0,15.0
12483,18000.0, 60 months,14.48,423.33,80000.0,26.58,22494.0,36.0
16904,16000.0, 60 months,14.48,376.29,60000.0,30.06,13056.0,26.0
1147,9000.0, 36 months,5.32,271.04,100000.0,18.16,8274.0,20.0
19351,8000.0, 36 months,7.26,247.97,50000.0,14.64,7353.0,13.0
15279,1000.0, 36 months,15.41,34.87,68000.0,15.23,3354.0,15.0
10551,14500.0, 60 months,18.99,376.06,33000.0,23.13,22316.0,14.0
6777,10000.0, 36 months,10.78,326.35,85000.0,11.65,1874.0,45.0
11184,9000.0, 36 months,14.48,309.71,25000.0,37.45,10082.0,41.0
10514,9600.0, 36 months,13.18,324.3,66000.0,14.35,6341.0,14.0
8620,20000.0, 36 months,8.38,630.24,80000.0,24.93,41318.0,29.0
21773,14400.0, 60 months,8.38,294.61,70000.0,11.02,14347.0,23.0
14407,15000.0, 36 months,9.17,478.19,50000.0,7.85,13599.0,19.0
8559,35000.0, 36 months,9.76,1125.42,115000.0,11.41,29789.0,32.0
10503,21000.0, 60 months,7.89,424.7,95000.0,22.28,21860.0,47.0
5264,35000.0, 60 months,20.5,937.06,190000.0,37.73,226350.0,27.0
12351,14750.0, 36 months,12.59,494.08,36882.0,30.82,6846.0,18.0
11041,22100.0, 60 months,17.57,556.04,47000.0,34.45,20897.0,42.0
11176,3125.0, 36 months,9.17,99.63,35000.0,15.36,2828.0,12.0
20930,1000.0, 36 months,16.55,35.43,62000.0,24.49,9911.0,17.0
20426,14925.0, 36 months,14.48,513.59,38916.11,21.74,5891.0,29.0
9064,9800.0, 36 months,18.49,356.71,46500.0,20.8,4445.0,20.0
811,8000.0, 36 months,10.78,261.08,43500.0,11.98,16344.0,24.0
15079,25000.0, 60 months,16.99,621.18,59000.0,36.79,13057.0,26.0
19293,15000.0, 36 months,10.64,488.53,108000.0,17.71,22801.0,14.0
17233,12000.0, 60 months,18.49,307.93,50000.0,13.51,5248.0,14.0
6661,20000.0, 60 months,16.59,492.66,70000.0,32.45,27379.0,29.0
5038,1500.0, 36 months,17.27,53.69,45000.0,20.4,4004.0,17.0
23802,7200.0, 36 months,9.17,229.53,40000.0,11.6,7983.0,22.0
19988,35000.0, 60 months,16.55,861.4,95000.0,22.08,9952.0,44.0
11132,19000.0, 60 months,9.17,395.98,90000.0,25.06,18259.0,68.0
6650,12000.0, 36 months,5.32,361.38,64400.0,2.45,3949.0,22.0
3818,22400.0, 60 months,19.48,587.01,70000.0,3.15,5001.0,16.0
18441,16000.0, 36 months,6.24,488.5,100000.0,10.63,17554.0,22.0
19030,30000.0, 60 months,17.57,754.81,80000.0,19.85,14240.0,39.0
18116,25000.0, 36 months,6.89,770.68,115000.0,19.61,35804.0,24.0
15197,16000.0, 60 months,13.67,369.57,85000.0,28.89,19354.0,12.0
18243,16900.0, 36 months,10.64,550.41,45000.0,24.32,14555.0,34.0
10140,9600.0, 36 months,23.99,376.59,32000.0,27.01,4281.0,19.0
7311,5000.0, 36 months,6.89,154.14,65000.0,33.4,20338.0,36.0
23586,18725.0, 36 months,8.38,590.07,37480.0,15.48,15992.0,24.0
9124,7750.0, 36 months,15.41,270.22,36000.0,39.77,4698.0,26.0
4929,35000.0, 36 months,13.99,1196.05,80000.0,13.21,27410.0,23.0
21141,31075.0, 60 months,14.48,730.82,62158.0,22.71,40026.0,18.0
23612,7200.0, 36 months,13.18,243.23,20000.0,6.06,1394.0,16.0
20071,7000.0, 36 months,11.22,229.91,40000.0,3.96,6598.0,9.0
410,20000.0, 36 months,8.49,631.26,70000.0,12.51,32224.0,4.0
2463,25000.0, 60 months,18.99,648.38,37856.0,23.17,9624.0,13.0
10909,12800.0, 36 months,6.24,390.8,220000.0,18.8,48632.0,16.0
10400,9000.0, 36 months,11.99,298.89,28500.0,25.26,2211.0,19.0
5500,1500.0, 36 months,13.44,50.86,96000.0,13.05,23586.0,25.0
1206,30000.0, 36 months,10.78,979.04,89775.0,21.44,51919.0,32.0
22324,10600.0, 36 months,5.32,319.22,24000.0,11.8,10688.0,15.0
8803,3600.0, 36 months,9.17,114.77,100000.0,21.35,13806.0,32.0
15696,15000.0, 36 months,11.99,498.15,48000.0,6.18,7122.0,14.0
11212,4000.0, 36 months,9.17,127.52,122450.0,26.87,18782.0,32.0
16907,20000.0, 36 months,9.76,643.1,60000.0,26.98,26287.0,51.0
7778,7000.0, 36 months,11.22,229.91,48000.0,1.2,1042.0,11.0
16527,4000.0, 36 months,15.41,139.47,15200.0,16.11,5352.0,12.0
3606,2075.0, 36 months,18.49,75.53,41545.0,5.03,1652.0,30.0
19540,8000.0, 36 months,6.89,246.62,73000.0,15.09,13223.0,10.0
12022,6500.0, 36 months,11.99,215.87,61000.0,4.56,10186.0,29.0
18222,10000.0, 36 months,14.48,344.12,100000.0,4.22,2955.0,12.0
9656,27000.0, 60 months,13.67,623.64,90000.0,18.11,25105.0,23.0
11422,2750.0, 36 months,21.99,105.01,19262.0,11.09,818.0,27.0
23353,3000.0, 36 months,7.26,92.99,128790.0,22.34,55703.0,37.0
6785,15400.0, 36 months,13.44,522.16,35000.0,12.69,16370.0,4.0
6488,18000.0, 60 months,14.85,426.81,70000.0,10.85,6810.0,22.0
6449,7000.0, 36 months,11.48,230.77,40000.0,27.87,4232.0,21.0
12698,10175.0, 36 months,13.18,343.72,46862.0,25.48,5709.0,34.0
15610,11000.0, 36 months,7.26,340.96,80000.0,12.35,3656.0,24.0
22245,9175.0, 36 months,13.67,312.12,54000.0,25.04,5321.0,19.0
7086,16800.0, 60 months,13.67,388.04,55000.0,16.98,18063.0,20.0
21003,10000.0, 36 months,6.24,305.31,31000.0,7.9,10327.0,9.0
4708,7200.0, 36 months,13.99,246.05,30000.0,18.28,2720.0,35.0
3455,11500.0, 36 months,7.91,359.9,65000.0,21.94,12932.0,23.0
21750,14400.0, 36 months,15.41,502.08,40000.0,27.12,3694.0,32.0
9575,19800.0, 60 months,17.57,498.17,45000.0,20.77,15658.0,20.0
11974,16000.0, 60 months,13.18,365.53,50000.0,24.89,12423.0,14.0
14524,7000.0, 36 months,7.89,219.0,225000.0,24.29,35945.0,44.0
10522,25000.0, 36 months,15.41,871.67,75000.0,28.37,22949.0,35.0
580,30000.0, 36 months,10.78,979.04,70000.0,22.99,33542.0,26.0
6581,21000.0, 60 months,13.99,488.53,100000.0,17.48,10969.0,25.0
15092,28000.0, 36 months,5.32,843.22,106000.0,14.96,47822.0,26.0
11066,18000.0, 36 months,9.17,573.83,48000.0,19.63,14396.0,17.0
18964,16000.0, 60 months,13.18,365.53,95500.0,15.09,19416.0,27.0
498,22800.0, 36 months,5.32,686.62,76000.0,21.96,15801.0,27.0
16493,32675.0, 60 months,28.49,1027.05,86000.0,16.44,22956.0,27.0
5988,6100.0, 36 months,11.48,201.1,75000.0,15.04,12006.0,29.0
20369,19500.0, 36 months,21.99,744.62,65000.0,29.69,10049.0,42.0
17268,5600.0, 36 months,11.22,183.93,55000.0,18.5,3322.0,30.0
19260,20150.0, 60 months,20.99,545.02,48000.0,34.43,20962.0,18.0
16222,26400.0, 36 months,9.76,848.89,82000.0,13.83,13417.0,18.0
14588,5600.0, 36 months,11.22,183.93,50000.0,20.6,325.0,11.0
13482,10000.0, 36 months,10.64,325.69,26000.0,18.19,6218.0,15.0
699,3200.0, 36 months,9.8,102.96,24000.0,18.05,5090.0,24.0
12440,32000.0, 36 months,8.38,1008.39,130000.0,24.97,26320.0,28.0
16808,9800.0, 36 months,13.67,333.38,40000.0,31.17,7969.0,6.0
5219,13600.0, 60 months,13.99,316.38,50000.0,24.44,5754.0,14.0
15154,7000.0, 36 months,13.18,236.47,50000.0,23.92,4908.0,45.0
12211,8000.0, 36 months,10.64,260.55,55000.0,22.73,9207.0,26.0
23622,3000.0, 36 months,13.18,101.35,60000.0,20.3,5626.0,16.0
13580,10000.0, 36 months,11.22,328.43,55164.0,30.19,7418.0,19.0
10477,5000.0, 36 months,10.64,162.85,34230.0,10.13,9109.0,7.0
22050,16400.0, 36 months,13.67,557.89,75000.0,18.13,1955.0,25.0
19545,7500.0, 36 months,9.17,239.1,100000.0,7.44,16418.0,12.0
7273,4800.0, 36 months,12.88,161.46,50000.0,18.87,7535.0,14.0
9069,25000.0, 36 months,5.32,752.87,75000.0,16.48,23591.0,20.0
381,16000.0, 36 months,7.91,500.72,50000.0,24.41,12638.0,22.0
23519,15000.0, 36 months,11.22,492.65,89500.0,20.79,26828.0,43.0
18648,9175.0, 36 months,18.2,332.62,48000.0,16.9,5108.0,15.0
19738,6000.0, 36 months,11.99,199.26,150000.0,11.16,30937.0,20.0
13260,30000.0, 36 months,16.55,1062.88,100000.0,19.75,29768.0,20.0
5900,30000.0, 36 months,13.99,1025.19,65056.0,17.56,2706.0,22.0
3640,23500.0, 36 months,9.8,756.08,84700.0,23.83,29097.0,27.0
12069,35000.0, 36 months,11.99,1162.34,250000.0,1.79,11786.0,6.0
13000,5000.0, 36 months,13.18,168.91,37800.0,22.22,4459.0,7.0
22750,8000.0, 36 months,10.64,260.55,50000.0,27.87,18264.0,34.0
20389,15000.0, 60 months,15.41,360.09,40000.0,12.69,2861.0,28.0
11833,1000.0, 36 months,11.99,33.21,70000.0,18.3,20337.0,24.0
8035,10650.0, 36 months,14.48,366.48,145000.0,2.71,15201.0,26.0
19610,15000.0, 60 months,13.67,346.47,45000.0,30.77,7715.0,18.0
9387,16000.0, 36 months,9.76,514.48,90000.0,20.87,6954.0,26.0
6565,2500.0, 36 months,11.99,83.03,37000.0,21.21,4363.0,20.0
21503,28000.0, 36 months,9.17,892.61,80000.0,28.89,13785.0,37.0
20742,10000.0, 36 months,11.99,332.1,47000.0,14.73,11022.0,8.0
14236,20000.0, 36 months,9.76,643.1,80000.0,12.41,5537.0,22.0
22693,9000.0, 36 months,5.32,271.04,82000.0,11.77,4961.0,33.0
9793,16500.0, 36 months,11.22,541.91,70400.0,12.89,16077.0,20.0
20958,25000.0, 36 months,10.64,814.22,105000.0,28.87,22869.0,51.0
23966,10000.0, 36 months,13.18,337.81,52000.0,14.86,6087.0,23.0
15498,12000.0, 36 months,17.86,432.99,71200.0,18.81,23574.0,29.0
4291,10000.0, 36 months,9.17,318.79,46000.0,26.14,7709.0,28.0
22734,35000.0, 36 months,13.67,1190.62,132000.0,5.43,5493.0,18.0
18293,15000.0, 36 months,9.17,478.19,36500.0,33.11,20784.0,27.0
12331,9800.0, 36 months,11.99,325.46,41000.0,31.85,11939.0,18.0
15741,6500.0, 36 months,9.17,207.22,65000.0,32.61,23792.0,21.0
18055,32000.0, 60 months,17.57,805.13,85000.0,36.06,23945.0,34.0
5637,8000.0, 36 months,11.48,263.74,52000.0,21.51,11687.0,21.0
18268,10000.0, 36 months,10.64,325.69,55000.0,27.97,4175.0,45.0
14995,8000.0, 36 months,12.59,267.98,79875.0,7.59,4398.0,8.0
18962,24200.0, 60 months,17.86,612.68,91500.0,35.15,60010.0,21.0
13709,13000.0, 36 months,7.89,406.72,61500.0,25.27,4897.0,30.0
1845,35000.0, 60 months,20.5,937.06,107000.0,29.89,30788.0,35.0
22133,11200.0, 60 months,18.49,287.41,40000.0,0.63,21.0,5.0
7824,16000.0, 60 months,11.22,349.64,110000.0,17.75,27035.0,44.0
21920,7500.0, 36 months,9.76,241.16,48000.0,12.63,1874.0,18.0
4763,14000.0, 36 months,11.99,464.94,60000.0,28.14,13301.0,47.0
12384,10000.0, 36 months,5.32,301.15,118000.0,12.54,16148.0,37.0
23107,20000.0, 36 months,6.24,610.62,60000.0,16.98,10674.0,27.0
22078,19800.0, 36 months,18.49,720.7,55000.0,19.76,5096.0,12.0
21315,15000.0, 36 months,9.76,482.32,75000.0,36.96,48283.0,56.0
5710,35000.0, 60 months,13.99,814.21,190000.0,13.18,38454.0,25.0
2648,6000.0, 36 months,11.48,197.8,38000.0,13.61,4848.0,40.0
601,30000.0, 60 months,13.44,689.37,70000.0,12.08,19212.0,33.0
2929,23050.0, 36 months,12.88,775.32,60000.0,33.78,35951.0,35.0
16364,19200.0, 60 months,11.99,427.0,120000.0,15.58,22841.0,24.0
23391,24000.0, 60 months,18.2,612.06,75000.0,31.79,3414.0,46.0
21861,28000.0, 36 months,7.89,876.0,140000.0,4.05,6601.0,4.0
11057,4600.0, 36 months,17.57,165.32,14400.0,30.91,8977.0,9.0
2029,3000.0, 36 months,6.49,91.94,24000.0,12.45,2958.0,8.0
3536,15800.0, 60 months,10.78,341.8,55000.0,8.43,17411.0,19.0
11264,19000.0, 36 months,8.38,598.73,90000.0,14.35,18077.0,21.0
13708,11000.0, 36 months,7.89,344.15,60000.0,8.96,14942.0,22.0
16301,14000.0, 60 months,13.67,323.37,50000.0,32.07,25287.0,40.0
7360,13200.0, 60 months,11.99,293.57,90000.0,18.47,1857.0,32.0
17306,8000.0, 36 months,9.76,257.24,45000.0,13.54,8317.0,5.0
12799,21000.0, 60 months,16.55,516.84,64000.0,32.03,17818.0,62.0
2142,30000.0, 60 months,12.88,680.76,127000.0,19.29,53422.0,47.0
2990,11200.0, 36 months,11.48,369.23,60000.0,18.94,7668.0,22.0
9775,30000.0, 60 months,13.67,692.93,82000.0,31.54,23053.0,40.0
147,10800.0, 60 months,13.99,251.25,40000.0,26.13,8192.0,14.0
21521,9600.0, 36 months,5.32,289.11,51000.0,11.62,1173.0,27.0
11494,7500.0, 36 months,14.48,258.09,130000.0,28.79,25945.0,25.0
7967,3000.0, 36 months,6.89,92.49,40000.0,3.36,3221.0,15.0
5606,21000.0, 36 months,7.91,657.2,125000.0,13.95,66539.0,37.0
532,25000.0, 60 months,13.44,574.48,50000.0,6.39,8291.0,34.0
4163,30000.0, 36 months,11.48,989.0,87000.0,29.89,35690.0,39.0
3325,4200.0, 36 months,9.17,133.9,100000.0,13.2,2947.0,18.0
10911,22000.0, 60 months,11.99,489.27,105000.0,11.08,10556.0,20.0
20478,17100.0, 36 months,13.18,577.66,117117.0,6.03,4897.0,13.0
12874,22000.0, 60 months,13.18,502.6,90000.0,26.66,46657.0,29.0
2032,8500.0, 36 months,14.85,294.04,80000.0,27.99,15014.0,47.0
23013,22000.0, 36 months,6.89,678.2,100000.0,8.77,27742.0,38.0
12005,12300.0, 36 months,14.48,423.26,28000.0,22.89,5768.0,5.0
2575,9800.0, 36 months,5.32,295.13,68000.0,4.08,10522.0,20.0
2097,10000.0, 36 months,8.49,315.63,150000.0,4.62,10551.0,46.0
5185,5000.0, 36 months,8.49,157.82,46000.0,1.2,707.0,6.0
14879,10000.0, 36 months,13.18,337.81,25000.0,21.56,14811.0,14.0
17460,24000.0, 60 months,11.99,533.75,70000.0,22.36,6068.0,35.0
5999,24000.0, 36 months,7.91,751.08,95000.0,13.11,27017.0,24.0
12152,2000.0, 36 months,14.48,68.83,90000.0,17.85,22354.0,20.0
9082,4400.0, 36 months,8.38,138.66,32000.0,18.38,6211.0,7.0
23987,35000.0, 60 months,17.86,886.11,100000.0,22.69,0.0,29.0
11020,6300.0, 36 months,14.48,216.8,23000.0,29.28,4827.0,9.0
17742,5600.0, 36 months,18.49,203.84,14000.0,28.04,2357.0,35.0
10680,11550.0, 60 months,18.99,299.55,32640.0,20.85,9095.0,16.0
10007,15000.0, 36 months,11.99,498.15,140000.0,13.16,8079.0,19.0
14791,5300.0, 36 months,7.26,164.28,103000.0,21.69,15620.0,31.0
15109,2500.0, 36 months,11.99,83.03,110000.0,27.11,50798.0,22.0
19857,18000.0, 60 months,13.67,415.76,135000.0,19.16,40383.0,25.0
16120,12000.0, 60 months,13.67,277.18,40000.0,33.96,10926.0,21.0
1011,10000.0, 36 months,5.32,301.15,118000.0,7.37,33028.0,24.0
8361,12000.0, 36 months,11.99,398.52,65000.0,15.21,9488.0,32.0
7819,22200.0, 60 months,15.41,532.93,68000.0,15.0,33198.0,17.0
18289,4200.0, 36 months,6.24,128.23,76000.0,14.78,12660.0,25.0
9954,32975.0, 60 months,17.86,834.84,70000.0,32.28,18367.0,39.0
3136,3975.0, 36 months,12.88,133.71,62000.0,9.91,761.0,20.0
5517,31150.0, 60 months,22.45,868.32,82000.0,38.11,20256.0,26.0
9776,12000.0, 36 months,5.32,361.38,145000.0,27.81,14129.0,32.0
15902,22075.0, 60 months,17.86,558.89,46000.0,18.88,23674.0,15.0
1368,10000.0, 36 months,13.99,341.73,107000.0,16.85,5066.0,19.0
10707,19725.0, 36 months,12.59,660.73,49500.0,8.39,4458.0,13.0
946,21600.0, 60 months,19.48,566.04,121000.0,19.93,32672.0,51.0
11056,5000.0, 36 months,8.38,157.56,67000.0,10.39,6675.0,48.0
4621,8000.0, 36 months,9.8,257.39,100000.0,6.94,10683.0,11.0
6713,12000.0, 60 months,12.88,272.31,59000.0,13.7,19598.0,15.0
4341,13500.0, 36 months,7.49,419.88,90000.0,7.37,14776.0,17.0
9616,6450.0, 36 months,5.32,194.25,68000.0,21.96,7844.0,35.0
7941,17000.0, 36 months,11.99,564.57,60000.0,28.76,15374.0,19.0
2963,24000.0, 60 months,9.17,500.19,100000.0,18.6,13600.0,56.0
21865,13900.0, 60 months,15.41,333.68,53800.0,39.04,19702.0,22.0
23272,30000.0, 36 months,15.41,1046.0,80000.0,5.95,11970.0,31.0
1104,18000.0, 60 months,11.99,400.31,150000.0,17.39,11642.0,33.0
17501,12000.0, 36 months,13.67,408.22,56000.0,27.59,7440.0,30.0
9100,10000.0, 36 months,6.89,308.27,33000.0,8.11,10224.0,33.0
12413,6000.0, 36 months,9.17,191.28,40290.0,14.12,4943.0,20.0
5353,10000.0, 36 months,5.32,301.15,225000.0,10.94,23461.0,71.0
9461,3600.0, 36 months,16.55,127.55,158000.0,1.59,5346.0,5.0
2814,10400.0, 60 months,15.77,251.64,55000.0,11.35,7708.0,16.0
22894,25000.0, 60 months,16.99,621.18,65000.0,23.93,19095.0,23.0
17409,30000.0, 36 months,15.41,1046.0,110000.0,16.31,22108.0,48.0
10042,5600.0, 36 months,11.22,183.93,36000.0,28.25,1772.0,29.0
12097,10000.0, 36 months,13.18,337.81,370000.0,0.54,3121.0,26.0
14292,19200.0, 36 months,9.76,617.37,85000.0,8.56,19908.0,23.0
12653,8000.0, 36 months,10.64,260.55,75000.0,19.22,17620.0,14.0
6840,9375.0, 36 months,17.27,335.51,36000.0,25.4,3514.0,26.0
8565,5000.0, 36 months,11.99,166.05,49500.0,9.19,6282.0,24.0
5402,10000.0, 60 months,10.78,216.33,45000.0,14.29,11444.0,10.0
22751,6000.0, 36 months,8.38,189.08,25000.0,17.67,2888.0,5.0
4365,6000.0, 36 months,9.17,191.28,44359.0,5.57,4072.0,8.0
860,1000.0, 36 months,12.88,33.64,45000.0,39.11,10177.0,19.0
22927,11525.0, 60 months,13.18,263.3,36000.0,35.93,3520.0,38.0
16076,5600.0, 36 months,11.22,183.93,105000.0,24.5,25252.0,22.0
1801,12000.0, 60 months,20.5,321.28,65000.0,32.7,14791.0,57.0
15273,3200.0, 36 months,9.76,102.9,113000.0,5.17,2950.0,12.0
14249,6000.0, 36 months,8.38,189.08,32302.0,34.15,10722.0,20.0
22322,1000.0, 36 months,11.99,33.21,45000.0,10.35,1859.0,41.0
8494,8000.0, 36 months,14.48,275.29,50000.0,26.36,8524.0,29.0
16818,4000.0, 36 months,11.99,132.84,51000.0,11.41,2223.0,11.0
9741,1750.0, 36 months,14.48,60.22,44156.0,13.37,429.0,9.0
22556,30000.0, 36 months,10.64,977.06,140000.0,22.16,29575.0,44.0
16084,5600.0, 36 months,12.59,187.59,70000.0,34.68,35392.0,33.0
17402,1000.0, 36 months,23.99,39.23,35000.0,30.59,4193.0,31.0
14589,12000.0, 60 months,13.67,277.18,69000.0,21.53,11231.0,30.0
9667,30000.0, 36 months,10.64,977.06,70000.0,15.11,24213.0,24.0
6859,12000.0, 36 months,12.88,403.64,45000.0,4.8,2747.0,11.0
17774,5000.0, 36 months,11.99,166.05,38000.0,27.67,1319.0,14.0
12042,24000.0, 36 months,6.89,739.85,90000.0,14.59,51575.0,13.0
16886,20000.0, 60 months,18.2,510.05,60000.0,16.62,3509.0,6.0
9856,4000.0, 36 months,13.67,136.08,47000.0,30.44,10127.0,42.0
1943,6000.0, 36 months,7.49,186.61,67000.0,12.7,9432.0,42.0
14883,9000.0, 36 months,9.76,289.4,60000.0,14.78,6066.0,20.0
866,7000.0, 36 months,11.48,230.77,41000.0,19.79,1974.0,52.0
1548,11000.0, 36 months,5.32,331.27,76000.0,9.35,11198.0,11.0
12138,25000.0, 36 months,16.99,891.2,90000.0,14.31,23638.0,20.0
6855,14000.0, 60 months,19.89,370.06,45000.0,28.83,8837.0,15.0
11284,20000.0, 60 months,13.67,461.96,110000.0,22.58,15846.0,33.0
15783,24000.0, 60 months,16.55,590.68,70000.0,34.72,27912.0,46.0
22205,6400.0, 36 months,12.59,214.38,30000.0,27.44,17828.0,9.0
13136,6900.0, 36 months,9.76,221.87,88000.0,12.93,10262.0,22.0
9088,2500.0, 36 months,13.67,85.05,52000.0,30.26,5388.0,20.0
7796,6400.0, 36 months,11.99,212.55,44000.0,20.13,7864.0,33.0
10796,3200.0, 36 months,12.59,107.19,35000.0,13.48,5040.0,15.0
14707,14000.0, 36 months,7.89,438.0,95000.0,13.97,10194.0,29.0
5759,25000.0, 60 months,14.85,592.79,125000.0,14.71,20184.0,25.0
8910,15000.0, 36 months,6.89,462.41,122000.0,9.71,37774.0,20.0
8454,8400.0, 36 months,10.64,273.58,46000.0,21.03,14450.0,18.0
13444,27675.0, 36 months,9.17,882.25,98400.0,27.71,32209.0,37.0
23675,35000.0, 60 months,18.99,907.73,78000.0,4.54,15089.0,38.0
2096,5600.0, 36 months,9.17,178.53,41500.0,15.64,4907.0,16.0
14922,15000.0, 36 months,11.22,492.65,240000.0,11.7,64649.0,21.0
22528,7000.0, 36 months,13.18,236.47,73000.0,12.81,1325.0,7.0
6224,8000.0, 36 months,13.99,273.39,60000.0,33.28,8739.0,34.0
20636,25000.0, 36 months,13.67,850.44,103000.0,26.75,29224.0,22.0
13410,25600.0, 60 months,8.38,523.75,125000.0,3.88,2872.0,32.0
15089,12000.0, 36 months,8.38,378.15,65000.0,14.68,5503.0,42.0
17867,1075.0, 36 months,11.99,35.71,46000.0,12.84,9085.0,21.0
6344,8000.0, 36 months,13.99,273.39,50000.0,31.52,8906.0,31.0
14454,2850.0, 36 months,15.41,99.37,26000.0,25.16,1911.0,11.0
89,5000.0, 36 months,7.91,156.48,32000.0,13.73,5552.0,10.0
12497,25000.0, 60 months,10.64,539.09,90000.0,8.91,16710.0,26.0
17085,35000.0, 60 months,16.55,861.4,100000.0,16.68,15723.0,31.0
10030,18000.0, 60 months,18.49,461.9,55000.0,15.88,14724.0,16.0
17396,15000.0, 36 months,12.59,502.46,70000.0,28.89,14379.0,25.0
20079,6000.0, 36 months,6.24,183.19,110000.0,16.64,26263.0,41.0
816,24000.0, 36 months,6.99,740.95,127000.0,12.07,21112.0,56.0
14294,3600.0, 36 months,12.59,120.59,65000.0,34.99,12815.0,54.0
19609,35000.0, 36 months,11.22,1149.51,110000.0,28.66,34908.0,32.0
22328,24000.0, 60 months,13.67,554.35,125000.0,13.38,26417.0,38.0
21389,13000.0, 60 months,14.48,305.74,60000.0,16.45,9046.0,15.0
6048,7900.0, 36 months,12.88,265.73,18000.0,15.2,8164.0,18.0
23290,16000.0, 36 months,6.89,493.23,65000.0,30.02,14142.0,25.0
18949,7000.0, 36 months,7.26,216.98,75000.0,11.1,8899.0,17.0
3491,12000.0, 36 months,7.49,373.22,88000.0,14.01,14241.0,24.0
6107,10200.0, 36 months,7.91,319.21,130000.0,16.04,2319.0,25.0
20155,8000.0, 36 months,6.89,246.62,63500.0,22.15,17898.0,55.0
3971,15000.0, 60 months,11.99,333.6,75000.0,18.95,6599.0,40.0
4574,8000.0, 36 months,15.77,280.35,65899.0,21.74,17526.0,46.0
21466,29000.0, 60 months,20.99,784.39,75500.0,12.86,5560.0,34.0
22871,11975.0, 36 months,8.38,377.36,48000.0,31.44,13130.0,68.0
9002,14400.0, 60 months,15.41,345.69,69000.0,11.25,4088.0,8.0
12233,16000.0, 36 months,5.32,481.84,90000.0,26.76,11964.0,69.0
13337,3000.0, 36 months,14.48,103.24,11000.0,20.31,3484.0,6.0
5666,6125.0, 36 months,11.99,203.41,22000.0,27.87,3307.0,25.0
8567,9600.0, 36 months,11.22,315.3,46400.0,11.69,9997.0,18.0
19459,14000.0, 36 months,15.41,488.14,35000.0,7.66,7334.0,12.0
17717,10000.0, 36 months,12.59,334.97,70000.0,18.62,14686.0,17.0
4465,20000.0, 60 months,15.77,483.93,60000.0,9.92,4593.0,16.0
18481,35000.0, 60 months,11.99,778.38,325000.0,15.87,401969.0,33.0
11456,12000.0, 60 months,15.41,288.07,49000.0,18.64,9873.0,25.0
5917,20000.0, 36 months,11.48,659.33,140000.0,22.92,9065.0,29.0
19744,10000.0, 36 months,13.67,340.18,65000.0,22.19,9978.0,22.0
12024,2650.0, 36 months,10.64,86.31,48500.0,18.04,4534.0,20.0
18835,12000.0, 36 months,9.76,385.86,85000.0,27.42,19676.0,18.0
1036,10000.0, 36 months,9.8,321.74,75000.0,10.94,10368.0,23.0
220,15000.0, 36 months,10.78,489.52,85000.0,10.14,8768.0,21.0
17725,23000.0, 60 months,16.55,566.06,55000.0,23.52,26748.0,55.0
5824,4250.0, 36 months,14.85,147.02,29000.0,16.72,1099.0,16.0
18188,12000.0, 36 months,8.38,378.15,60000.0,18.18,10024.0,31.0
10123,4200.0, 36 months,9.76,135.05,47000.0,19.28,4663.0,33.0
5506,11650.0, 36 months,11.99,386.9,35000.0,17.9,4859.0,9.0
8418,20000.0, 36 months,5.32,602.3,162463.0,15.56,18896.0,41.0
9230,12600.0, 36 months,13.67,428.63,94000.0,25.04,25185.0,17.0
13475,1800.0, 36 months,13.18,60.81,50000.0,15.99,3149.0,9.0
17015,4000.0, 36 months,12.59,133.99,27720.0,33.9,3784.0,20.0
16875,14000.0, 36 months,8.38,441.17,50000.0,29.84,14443.0,17.0
14554,5000.0, 36 months,11.22,164.22,32000.0,27.64,6899.0,13.0
17735,24000.0, 36 months,6.89,739.85,230000.0,8.58,5655.0,35.0
15115,19000.0, 36 months,11.99,630.99,53000.0,8.42,18173.0,17.0
8270,5000.0, 36 months,14.48,172.06,50000.0,34.37,7384.0,32.0
6866,10000.0, 60 months,12.88,226.92,42000.0,12.74,5010.0,16.0
11620,6000.0, 36 months,13.67,204.11,95000.0,20.02,20003.0,26.0
21269,30000.0, 36 months,6.89,924.81,100000.0,27.37,35726.0,28.0
4398,4000.0, 36 months,12.88,134.55,70000.0,38.95,31755.0,37.0
23780,20000.0, 36 months,11.99,664.2,52500.0,23.98,20426.0,57.0
